Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Mamuju Utara / Pasangkayu,85.43,85.72,86.14
Mamuju Tengah,86.16,86.4,86.74
MALUKU,93.2,93.51,93.73
Maluku Tenggara Barat / Kepulauan Tanimbar,86.91,87.13,87.55
Maluku Tenggara,96.59,96.58,96.78
Maluku Tengah,98.22,97.9,98.33
Buru,91,91.17,91.82
Kepulauan Aru,88.84,89.16,89.52
Seram Bagian Barat,98.77,98.63,98.4
Seram Bagian Timur,88.43,88.88,88.83
Maluku Barat Daya,90.33,90.47,90.65
Buru Selatan,86.79,87.21,87.26
Kota Ambon,97.86,97.86,97.95
Kota Tual,88.46,88.56,88.82
MALUKU UTARA,90.3,90.59,90.91
Halmahera Barat,88.89,89.12,89.3
Halmahera Tengah,90.18,90.46,90.6
Kepulauan Sula,92.77,92.85,93.19
Halmahera Selatan,87.38,87.58,87.79
Halmahera Utara,89.73,90.03,90.25
Halmahera Timur,82.09,82.59,82.69
Pulau Morotai,70.85,71.58,72.61
Pulau Taliabu,83.81,84.51,84.93
Kota Ternate,92.28,92.37,92.24
Kota Tidore Kepulauan,96.04,96.34,96.59
PAPUA BARAT,83.61,84.18,82.26
Fakfak,83.54,83.88,84.45
Kaimana,83.88,84.3,84.88
Teluk Wondama,79.58,79.72,80.36
Teluk Bintuni,86.37,86.5,86.63
Manokwari,84.41,84.86,85.37
Sorong Selatan,83.02,83.54,-
Sorong,86.54,86.83,-
Raja Ampat,78.46,79.02,-
Tambrauw,69.21,70.18,-
Maybrat,78.43,79.02,-
Manokwari Selatan,65.62,66.82,67.91
Pegunungan Arfak,77.75,78.94,79.96
Kota Sorong,91.87,92.14,-
PAPUA BARAT DAYA,-,-,84.27
Raja Ampat,-,-,79.58
Sorong,-,-,86.89
Sorong Selatan,-,-,84.04
Maybrat,-,-,79.46
Tambrauw,-,-,71.22
Kota Sorong,-,-,92.17
PAPUA,81.04,81.64,90.3
Merauke,89.3,89.64,-
Jayawijaya,85.14,85.8,-
Jayapura,91.73,91.61,91.63
Nabire,91.09,91.19,-
Kepulauan Yapen,90.25,89.9,89.94
Biak Numfor,90.79,90.96,91.36
Paniai,68.79,69.27,-
Puncak Jaya,66.86,67.86,-
Mimika,77.43,77.79,-
Boven Digoel,79.9,80.46,-
Mappi,84.88,85.16,-
Asmat,55.34,55.99,-
Yahukimo,74.58,75.56,-
Pegunungan Bintang,81.98,81.94,-
Tolikara,61.8,62.43,-
Sarmi,83.37,83.72,84.28
Keerom,87.46,87.92,88.13
Waropen,70.97,71.52,72.28
Supiori,77.88,78.27,78.85
Mamberamo Raya,82.81,83.31,83.53
Nduga,89.43,89.97,-
Lanny Jaya,94.01,94.14,-
Mamberamo Tengah,89.46,89.17,-
Yalimo,85.45,85.96,-
Puncak,84.85,85.56,-
Dogiyai,81.11,81.53,-
